Date ,IPOName,Issue_Size,Subscription_QIB,Subscription_HNI,Subscription_RII,Subscription_Total,Issue_Price,Listing_Gains_Percent
08/05/19,Neogen,131.48,30.49,113.88,16.06,41.18,0.0,0.0
04/07/19,Indiamart Inter,474.12,30.83,62.13,14.07,36.21,973.0,33.87
20/08/19,Sterling Wilson,3125.0,1.02,0.89,0.3,0.85,780.0,-7.01
14/10/19,IRCTC,635.04,108.79,354.52,14.94,111.95,320.0,-54.46
04/12/19,CSB Bank,409.68,38.85,45.49,9.01,35.24,195.0,53.9
12/12/19,Ujjivan Small,750.0,110.72,473.0,49.09,165.68,37.0,51.08
30/12/19,Prince Pipes,500.0,3.54,1.21,1.89,2.21,178.0,-6.4
16/03/20,SBI Card,10286.2,57.18,45.23,2.5,26.54,755.0,-9.51
23/07/20,Rossari,496.25,2.75,4.34,2.51,2.97,425.0,74.67
17/09/20,Happiest Minds,702.02,77.43,351.46,70.94,150.98,166.0,123.49
21/09/20,Route,600.0,89.76,192.81,12.67,73.3,350.0,86.03
01/10/20,Chemcon Special,318.0,113.54,449.14,41.21,149.33,340.0,72.0
01/10/20,CAMS,2244.33,73.18,111.85,5.55,46.99,1230.0,13.95
05/10/20,Angel One,600.0,5.74,0.69,4.31,3.94,306.0,-9.85
12/10/20,UTI AMC,2159.88,3.34,0.93,2.32,2.31,554.0,-13.97
12/10/20,Mazagon Dock,443.69,89.71,678.88,35.63,157.41,145.0,19.31
02/11/20,Equitas Bank,517.6,3.91,0.22,2.08,1.95,33.0,-0.76
20/11/20,Gland,6479.55,6.4,0.51,0.24,2.06,1500.0,21.36
14/12/20,Restaurant Bran,796.5,86.64,354.11,68.15,156.65,60.0,130.67
24/12/20,Bectors Food,540.54,176.85,620.86,29.33,198.02,288.0,106.79
01/01/21,Antony Waste,300.53,0.64,0.28,7.22,3.85,315.0,29.29
29/01/21,IRFC,4633.0,0.89,0.52,1.59,1.16,26.0,-4.42
02/02/21,Indigo Paints,1170.56,96.21,115.76,6.5,54.84,1490.0,109.31
03/02/21,Home First,1153.72,52.53,39.0,6.59,26.66,518.0,1.81
05/02/21,Stove Kraft,412.63,8.02,32.72,26.04,18.03,385.0,15.83
25/02/21,Nureca,100.0,0.24,17.1,74.29,17.98,400.0,66.66
26/02/21,Railtel,819.24,22.03,51.4,7.08,20.68,94.0,29.15
05/03/21,Heranba,60.0,25.98,108.72,4.82,33.13,627.0,29.55
15/03/21,MTAR Tech,596.41,52.01,522.35,12.78,133.18,575.0,88.22
